price,dist_from_cent
30688,.23293982
26667,.16160578
48325,.26747808
25211,.31630197
40780,.19198975
24680,.31654406
37457,.19270238
24728,.16428377
64706,.049826182
54269,.065327972
35396,.20336398
55556,.038221866
20000,.15615946
33431,.079332776
20963,.33493543
126250,.038613662
30774,.33493543
22875,.23293982
26655,.15464978
37954,.085568696
45032,.077236138
39294,.27969426
78216,.046865284
26545,.31630197
36246,.099918887
86247,.077553555
31600,.13018
97597,.095897615
21500,.20015919
50518,.11059371
49167,.090410851
34199,.14102307
21211,.2805694
101519,.050529703
21647,.34864247
19756,.29856747
62593,.085366532
24480,.31712249
35172,.1196658
53854,.17140056
40120,.14188963
34841,.22071774
17214,.35541052
35278,.17310977
29127,.1187865
42854,.10067492
71228,.085216209
65989,.058250796
42031,.11712361
22682,.22230196
97403,.098538488
32109,.16532271
10641,.35616055
34876,.12095547
75186,.091698661
76000,.044074971
43828,.070999347
57901,.089485228
53354,.046674773
50787,.14804795
22376,.14687507
54436,.073739447
63011,.075314842
33623,.19451143
20000,.27400208
38508,.19788349
32569,.22103018
36083,.060822424
110154,.062411107
42135,.1437865
55129,.0751184
85840,.03530962
21456,.29918036
87903,.091698661
101625,.042784821
41527,.14797561
18432,.23293982
16227,.14464299
37231,.090697259
51615,.095992707
32377,.11833792
29465,.13018
24591,.13018
27922,.19523096
26974,.29842964
83894,.047200873
72162,.059682198
20556,.10731466
30291,.36067852
78093,.061626375
33914,.18462066
60740,.051657844
46224,.089741126
44724,.092227399
52831,.078585118
95425,.099594012
20770,.33981109
36330,.070460446
56470,.046814043
38508,.071939729
35000,.17558661
23900,.34348363
77123,.084310122
20277,.12282129
50459,.12842344
46999,.064900078
47567,.27224958
59227,.1437865
22138,.13877653
28557,.18136118
13441,.37554607
15233,.37554607
30059,.12403803
46854,.11032974
24551,.18914837
69061,.11091308
29892,.16965559
36431,.17276537
36435,.12179132
64172,.05549277
65742,.12536037
96864,.091698661
58682,.17984819
100611,.091698661
101831,.10420664
26516,.27622882
33990,.071939729
21791,.34731486
40705,.14864051
16968,.35541052
22416,.27622882
29947,.15943624
52088,.0923291
36191,.060822424
67171,.083463661
23665,.3354966
83000,.08057221
46663,.11929975
30842,.3292622
21722,.13453241
36941,.077759534
83583,.045348834
31232,.18625462
28022,.32220462
50841,.086272329
41868,.068304911
48306,.069631159
105377,.039472278
40823,.16146977
15901,.20038997
29160,.27622882
79797,.032059267
54230,.08864066
31066,.31832513
50000,.093177401
35938,.089730009
55288,.053199984
40462,.17323126
14833,.40759158
39199,.10520025
25667,.10652509
41535,.076360203
40791,.11530804
46432,.099918887
52944,.060449202
21379,.19198975
31053,.14804795
45310,.067111231
67588,.17984819
56757,.1129366
18628,.34897172
41090,.064554743
29351,.24451543
25792,.17720029
26611,.32972977
25111,.16624817
36945,.12854144
32117,.29842964
95404,.048187241
38462,.1314498
26221,.30530226
32914,.2919333
26231,.22230196
55735,.057576239
72331,.063906342
34495,.092119575
46068,.27658826
37406,.053808015
59603,.055289086
30988,.17429787
25487,.32177612
47888,.05744718
79926,.096069582
35426,.11397994
42728,.16719888
32119,.16196892
23912,.34731486
30790,.27950329
58197,.071840011
22046,.21604897
25967,.3292622
51032,.10337729
62993,.06089757
35043,.16953559
34796,.1726651
46191,.12101256
19231,.33981109
42778,.053430393
46173,.083697401
25734,.32449588
61685,.072477967
49432,.19198975
36411,.13580723
32593,.26298618
55703,.069986448
42372,.091546275
39811,.30612388
21539,.34785232
13396,.32164708
47600,.21575999
40467,.077257745
46321,.11502985
52448,.063418902
33678,.1917958
55371,.17140056
37829,.17071325
55899,.08730001
41740,.1001673
27356,.14804795
41635,.14332104
72554,.080207504
45344,.10520025
84155,.083463661
60484,.054151725
39219,.1314498
26396,.30050626
51725,.030979669
59077,.13638677
36912,.081780754
51951,.096706845
88000,.047498636
25572,.33493543
30655,.12721784
46899,.07077843
